Year,Month,Day,AstronomicalTwilight_Start,AstronomicalTwilight_End,NauticalTwilight_Start,NauticalTwilight_End,CivilTwilight_Start,CivilTwilight_End
2012,January,1,5:44 AM,6:22 PM,6:16 AM,5:50 PM,6:50 AM,5:16 PM
2012,January,2,5:44 AM,6:23 PM,6:17 AM,5:50 PM,6:50 AM,5:16 PM
2012,January,3,5:44 AM,6:24 PM,6:17 AM,5:51 PM,6:51 AM,5:17 PM
2012,January,4,5:44 AM,6:25 PM,6:17 AM,5:52 PM,6:51 AM,5:18 PM
2012,January,5,5:44 AM,6:25 PM,6:17 AM,5:53 PM,6:51 AM,5:19 PM
2012,January,6,5:44 AM,6:26 PM,6:17 AM,5:54 PM,6:51 AM,5:20 PM
2012,January,7,5:44 AM,6:27 PM,6:17 AM,5:54 PM,6:51 AM,5:21 PM
2012,January,8,5:44 AM,6:28 PM,6:17 AM,5:55 PM,6:51 AM,5:22 PM
2012,January,9,5:44 AM,6:29 PM,6:17 AM,5:56 PM,6:51 AM,5:23 PM
2012,January,10,5:44 AM,6:30 PM,6:17 AM,5:57 PM,6:50 AM,5:24 PM
2012,January,11,5:44 AM,6:31 PM,6:17 AM,5:58 PM,6:50 AM,5:25 PM
2012,January,12,5:44 AM,6:31 PM,6:17 AM,5:59 PM,6:50 AM,5:26 PM
2012,January,13,5:44 AM,6:32 PM,6:17 AM,6:00 PM,6:50 AM,5:27 PM
2012,January,14,5:44 AM,6:33 PM,6:16 AM,6:01 PM,6:50 AM,5:28 PM
2012,January,15,5:44 AM,6:34 PM,6:16 AM,6:02 PM,6:49 AM,5:29 PM
2012,January,16,5:43 AM,6:35 PM,6:16 AM,6:03 PM,6:49 AM,5:30 PM
2012,January,17,5:43 AM,6:36 PM,6:15 AM,6:04 PM,6:49 AM,5:31 PM
2012,January,18,5:43 AM,6:37 PM,6:15 AM,6:05 PM,6:48 AM,5:32 PM
2012,January,19,5:43 AM,6:38 PM,6:15 AM,6:06 PM,6:48 AM,5:33 PM
2012,January,20,5:42 AM,6:39 PM,6:14 AM,6:07 PM,6:47 AM,5:34 PM
2012,January,21,5:42 AM,6:40 PM,6:14 AM,6:08 PM,6:47 AM,5:35 PM
2012,January,22,5:41 AM,6:41 PM,6:13 AM,6:09 PM,6:46 AM,5:36 PM
2012,January,23,5:41 AM,6:42 PM,6:13 AM,6:10 PM,6:46 AM,5:37 PM
2012,January,24,5:40 AM,6:43 PM,6:12 AM,6:11 PM,6:45 AM,5:38 PM
2012,January,25,5:40 AM,6:44 PM,6:12 AM,6:12 PM,6:45 AM,5:39 PM
2012,January,26,5:39 AM,6:45 PM,6:11 AM,6:13 PM,6:44 AM,5:40 PM
2012,January,27,5:39 AM,6:46 PM,6:11 AM,6:14 PM,6:43 AM,5:42 PM
2012,January,28,5:38 AM,6:47 PM,6:10 AM,6:15 PM,6:42 AM,5:43 PM
2012,January,29,5:37 AM,6:48 PM,6:09 AM,6:16 PM,6:42 AM,5:44 PM
2012,January,30,5:37 AM,6:49 PM,6:09 AM,6:17 PM,6:41 AM,5:45 PM
2012,January,31,5:36 AM,6:50 PM,6:08 AM,6:18 PM,6:40 AM,5:46 PM
2012,February,1,5:35 AM,6:51 PM,6:07 AM,6:19 PM,6:39 AM,5:47 PM
2012,February,2,5:35 AM,6:52 PM,6:06 AM,6:21 PM,6:38 AM,5:48 PM
2012,February,3,5:34 AM,6:53 PM,6:05 AM,6:22 PM,6:38 AM,5:49 PM
2012,February,4,5:33 AM,6:54 PM,6:05 AM,6:23 PM,6:37 AM,5:51 PM
2012,February,5,5:32 AM,6:55 PM,6:04 AM,6:24 PM,6:36 AM,5:52 PM
2012,February,6,5:31 AM,6:56 PM,6:03 AM,6:25 PM,6:35 AM,5:53 PM
2012,February,7,5:30 AM,6:57 PM,6:02 AM,6:26 PM,6:34 AM,5:54 PM
2012,February,8,5:29 AM,6:58 PM,6:01 AM,6:27 PM,6:33 AM,5:55 PM
2012,February,9,5:28 AM,7:00 PM,6:00 AM,6:28 PM,6:32 AM,5:56 PM
2012,February,10,5:27 AM,7:01 PM,5:59 AM,6:29 PM,6:31 AM,5:57 PM
2012,February,11,5:26 AM,7:02 PM,5:58 AM,6:30 PM,6:29 AM,5:58 PM
2012,February,12,5:25 AM,7:03 PM,5:57 AM,6:31 PM,6:28 AM,6:00 PM
2012,February,13,5:24 AM,7:04 PM,5:56 AM,6:32 PM,6:27 AM,6:01 PM
2012,February,14,5:23 AM,7:05 PM,5:54 AM,6:33 PM,6:26 AM,6:02 PM
2012,February,15,5:22 AM,7:06 PM,5:53 AM,6:35 PM,6:25 AM,6:03 PM
2012,February,16,5:21 AM,7:07 PM,5:52 AM,6:36 PM,6:24 AM,6:04 PM
