,Date,Federal_Holiday
0,2014-01-01 00:00:00,New Year's Day
1,2014-01-20 00:00:00,Martin Luther King Day
2,2014-02-17 00:00:00,Presidents' Day
3,2014-05-26 00:00:00,Memorial Day
4,2014-07-04 00:00:00,Independence Day
5,2014-09-01 00:00:00,Labor Day
6,2014-10-13 00:00:00,Columbus Day
7,2014-11-11 00:00:00,Veterans Day
8,2014-11-27 00:00:00,Thanksgiving Day
9,2014-12-25 00:00:00,Christmas Day
10,2015-01-01 00:00:00,New Year's Day
11,2015-01-19 00:00:00,Martin Luther King Day
12,2015-02-16 00:00:00,Presidents' Day
13,2015-05-25 00:00:00,Memorial Day
14,2015-07-03 00:00:00,Independence Day (observed)
15,2015-07-04 00:00:00,Independence Day
16,2015-09-07 00:00:00,Labor Day
17,2015-10-12 00:00:00,Columbus Day
18,2015-11-11 00:00:00,Veterans Day
19,2015-11-26 00:00:00,Thanksgiving Day
20,2015-12-25 00:00:00,Christmas Day
21,2016-01-01 00:00:00,New Year's Day
22,2016-01-18 00:00:00,Martin Luther King Day
23,2016-02-15 00:00:00,Presidents' Day
24,2016-05-30 00:00:00,Memorial Day
25,2016-07-04 00:00:00,Independence Day
26,2016-09-05 00:00:00,Labor Day
27,2016-10-10 00:00:00,Columbus Day
28,2016-11-11 00:00:00,Veterans Day
29,2016-11-24 00:00:00,Thanksgiving Day
30,2016-12-25 00:00:00,Christmas Day
31,2016-12-26 00:00:00,Christmas Day (observed)
32,2017-01-01 00:00:00,New Year's Day
33,2017-01-02 00:00:00,New Year's Day (observed)
34,2017-01-16 00:00:00,Martin Luther King Day
35,2017-02-20 00:00:00,Presidents' Day
36,2017-05-29 00:00:00,Memorial Day
37,2017-07-04 00:00:00,Independence Day
38,2017-09-04 00:00:00,Labor Day
39,2017-10-09 00:00:00,Columbus Day
40,2017-11-10 00:00:00,Veterans Day (observed)
41,2017-11-11 00:00:00,Veterans Day
42,2017-11-23 00:00:00,Thanksgiving Day
43,2017-12-25 00:00:00,Christmas Day
44,2018-01-01 00:00:00,New Year's Day
45,2018-01-15 00:00:00,Martin Luther King Day
46,2018-02-19 00:00:00,Presidents' Day
47,2018-05-28 00:00:00,Memorial Day
48,2018-07-04 00:00:00,Independence Day
49,2018-09-03 00:00:00,Labor Day
50,2018-10-08 00:00:00,Columbus Day
51,2018-11-11 00:00:00,Veterans Day
52,2018-11-12 00:00:00,Veterans Day (observed)
53,2018-11-22 00:00:00,Thanksgiving Day
54,2018-12-25 00:00:00,Christmas Day
55,2019-01-01 00:00:00,New Year's Day
56,2019-01-21 00:00:00,Martin Luther King Day
57,2019-02-18 00:00:00,Presidents' Day
58,2019-05-27 00:00:00,Memorial Day
59,2019-07-04 00:00:00,Independence Day
60,2019-09-02 00:00:00,Labor Day
61,2019-10-14 00:00:00,Columbus Day
62,2019-11-11 00:00:00,Veterans Day
63,2019-11-28 00:00:00,Thanksgiving Day
64,2019-12-25 00:00:00,Christmas Day
