Series Id:              LAUMT081450000000006

Not Seasonally Adjusted
Area:                   Boulder, CO Metropolitan Statistical Area
Area Type:              Metropolitan areas
State/Region/Division:  Colorado


Year,Period,labor force,employment,unemployment,unemployment rate
2014,Jan,174944,166061,8883,5.1
2014,Feb,176385,167224,9161,5.2
2014,Mar,175526,166989,8537,4.9
2014,Apr,175373,167797,7576,4.3
2014,May,175863,168760,7103,4.0
2014,Jun,175140,167663,7477,4.3
2014,Jul,175387,168270,7117,4.1
2014,Aug,174806,168210,6596,3.8
2014,Sep,177195,171214,5981,3.4
2014,Oct,178813,172824,5989,3.3
2014,Nov,177435,171286,6149,3.5
2014,Dec,175666,169838,5828,3.3
2015,Jan,176227,169535,6692,3.8
2015,Feb,176135,169316,6819,3.9
2015,Mar,175544,169175,6369,3.6
2015,Apr,175976,170209,5767,3.3
2015,May,177121,171217,5904,3.3
2015,Jun,175996,169875,6121,3.5
2015,Jul,175706,170210,5496,3.1
2015,Aug,175351,170297,5054,2.9
2015,Sep,177450,172813,4637,2.6
2015,Oct,178949,174081,4868,2.7
2015,Nov,178972,174149,4823,2.7
2015,Dec,177061,172347,4714,2.7
2016,Jan,178145,172929,5216,2.9
2016,Feb,180087,174606,5481,3.0
2016,Mar,180434,174942,5492,3.0
2016,Apr,180566,175496,5070,2.8
2016,May,177279,172525,4754,2.7
2016,Jun,180933,175409,5524,3.1
2016,Jul,179774,174861,4913,2.7
2016,Aug,179435,174721,4714,2.6
2016,Sep,183273,178901,4372,2.4
2016,Oct,182956,178669,4287,2.3
2016,Nov,184114,180217,3897,2.1
2016,Dec,182589,178685,3904,2.1
2017,Jan,180968,176267,4701,2.6
2017,Feb,184964,180183,4781,2.6
2017,Mar,185793,181503,4290,2.3
2017,Apr,186231,182193,4038,2.2
2017,May,186617,182506,4111,2.2
2017,Jun,186055,181196,4859,2.6
2017,Jul,186734,182133,4601,2.5
2017,Aug,187198,182656,4542,2.4
2017,Sep,190292,185863,4429,2.3
2017,Oct,188209,183609,4600,2.4
2017,Nov,190120,185439,4681,2.5
2017,Dec,189048,184248,4800,2.5
2018,Jan,185882,180565,5317,2.9
2018,Feb,191740,186213,5527,2.9
2018,Mar,192425,187566,4859,2.5
2018,Apr,192454,188079,4375,2.3
2018,May,192703,188657,4046,2.1
2018,Jun,191082,185900,5182,2.7
2018,Jul,191370,186173,5197,2.7
2018,Aug,191643,185638,6005,3.1
2018,Sep,193988,188629,5359,2.8
2018,Oct,195592,190209,5383,2.8
2018,Nov,195553,189911,5642,2.9
2018,Dec,194860(P),188507(P),6353(P),3.3(P)

P : Preliminary.
