Series Id:              LAUMT081974000000006

Not Seasonally Adjusted
Area:                   Denver-Aurora-Lakewood, CO Metropolitan Statistical Area
Area Type:              Metropolitan areas
State/Region/Division:  Colorado
Year,Period,labor force,employment,unemployment,unemployment rate
2014,Jan,1464739,1375417,89322,6.1
2014,Feb,1471482,1381666,89816,6.1
2014,Mar,1472531,1387011,85520,5.8
2014,Apr,1479494,1401874,77620,5.2
2014,May,1483938,1412774,71164,4.8
2014,Jun,1495452,1422939,72513,4.8
2014,Jul,1498483,1429521,68962,4.6
2014,Aug,1495025,1429710,65315,4.4
2014,Sep,1493310,1433019,60291,4.0
2014,Oct,1502265,1443150,59115,3.9
2014,Nov,1492077,1432558,59519,4.0
2014,Dec,1485337,1426231,59106,4.0
2015,Jan,1489892,1421799,68093,4.6
2015,Feb,1491926,1425526,66400,4.5
2015,Mar,1488273,1424078,64195,4.3
2015,Apr,1495512,1438089,57423,3.8
2015,May,1505254,1447909,57345,3.8
2015,Jun,1512835,1454113,58722,3.9
2015,Jul,1513906,1459660,54246,3.6
2015,Aug,1514716,1465159,49557,3.3
2015,Sep,1512763,1465114,47649,3.1
2015,Oct,1517943,1470406,47537,3.1
2015,Nov,1511584,1464149,47435,3.1
2015,Dec,1509208,1461733,47475,3.1
2016,Jan,1512026,1459119,52907,3.5
2016,Feb,1521300,1467493,53807,3.5
2016,Mar,1526368,1472362,54006,3.5
2016,Apr,1529178,1479338,49840,3.3
2016,May,1533246,1486920,46326,3.0
2016,Jun,1549751,1497170,52581,3.4
2016,Jul,1551731,1503988,47743,3.1
2016,Aug,1551215,1506237,44978,2.9
2016,Sep,1558064,1513765,44299,2.8
2016,Oct,1561722,1519089,42633,2.7
2016,Nov,1553820,1514167,39653,2.6
2016,Dec,1546944,1507045,39899,2.6
2017,Jan,1552683,1505363,47320,3.0
2017,Feb,1563033,1517123,45910,2.9
2017,Mar,1566152,1523938,42214,2.7
2017,Apr,1568352,1529352,39000,2.5
2017,May,1578183,1539804,38379,2.4
2017,Jun,1600027,1555022,45005,2.8
2017,Jul,1606332,1563071,43261,2.7
2017,Aug,1606170,1562755,43415,2.7
2017,Sep,1614214,1571315,42899,2.7
2017,Oct,1610520,1567091,43429,2.7
2017,Nov,1612353,1567767,44586,2.8
2017,Dec,1607274,1561361,45913,2.9
2018,Jan,1601985,1550567,51418,3.2
2018,Feb,1625498,1573909,51589,3.2
2018,Mar,1625313,1579947,45366,2.8
2018,Apr,1625764,1585199,40565,2.5
2018,May,1633355,1595509,37846,2.3
2018,Jun,1658566,1610890,47676,2.9
2018,Jul,1659292,1610609,48683,2.9
2018,Aug,1648081,1593469,54612,3.3
2018,Sep,1643442,1593774,49668,3.0
2018,Oct,1650347,1600869,49478,3.0
2018,Nov,1648560,1594740,53820,3.3
2018,Dec,1648629(P),1587640(P),60989(P),3.7(P)

P : Preliminary.
