Year,Month,Day ,Sunrise,Sunset,DayLength,Difference,AstronomicalTwilightStart,AstronomicalTwilightEnd,NauticalTwilightStart,NauticalTwilightEnd,CivilTwilightStart,CivilTwilightEnd,SolarNoon,Mil. mi
2012,January,1,7:21 am ? (120°),4:45 pm ? (240°),0.392268519,+0:38,0.238888889,0.765277778,0.261111111,0.743055556,0.284722222,0.719444444,12:03 pm (27.3°),91.405
,,2,7:21 am ? (120°),4:46 pm ? (240°),0.39275463,+0:42,0.238888889,0.765972222,0.261805556,0.743055556,0.284722222,0.719444444,12:03 pm (27.4°),91.403
,,3,7:21 am ? (120°),4:47 pm ? (241°),0.393287037,+0:46,0.238888889,0.766666667,0.261805556,0.74375,0.285416667,0.720138889,12:04 pm (27.5°),91.402
,,4,7:21 am ? (119°),4:48 pm ? (241°),0.393865741,+0:49,0.238888889,0.767361111,0.261805556,0.744444444,0.285416667,0.720833333,12:04 pm (27.6°),91.402
,,5,7:21 am ? (119°),4:49 pm ? (241°),0.394479167,+0:53,0.238888889,0.767361111,0.261805556,0.745138889,0.285416667,0.721527778,12:05 pm (27.7°),91.402
,,6,7:21 am ? (119°),4:50 pm ? (241°),0.395138889,+0:56,0.238888889,0.768055556,0.261805556,0.745833333,0.285416667,0.722222222,12:05 pm (27.8°),91.403
,,7,7:21 am ? (119°),4:51 pm ? (241°),0.395844907,+1:00,0.238888889,0.76875,0.261805556,0.745833333,0.285416667,0.722916667,12:06 pm (27.9°),91.404
,,8,7:21 am ? (119°),4:52 pm ? (241°),0.396574074,+1:03,0.238888889,0.769444444,0.261805556,0.746527778,0.285416667,0.723611111,12:06 pm (28.0°),91.406
,,9,7:20 am ? (119°),4:53 pm ? (242°),0.397349537,+1:07,0.238888889,0.770138889,0.261805556,0.747222222,0.285416667,0.724305556,12:06 pm (28.2°),91.409
,,10,7:20 am ? (118°),4:54 pm ? (242°),0.398171296,+1:10,0.238888889,0.770833333,0.261805556,0.747916667,0.284722222,0.725,12:07 pm (28.3°),91.412
,,11,7:20 am ? (118°),4:55 pm ? (242°),0.399016204,+1:13,0.238888889,0.771527778,0.261805556,0.748611111,0.284722222,0.725694444,12:07 pm (28.5°),91.415
,,12,7:20 am ? (118°),4:56 pm ? (242°),0.399907407,+1:16,0.238888889,0.771527778,0.261805556,0.749305556,0.284722222,0.726388889,12:08 pm (28.6°),91.42
,,13,7:20 am ? (118°),4:57 pm ? (242°),0.400833333,+1:19,0.238888889,0.772222222,0.261805556,0.75,0.284722222,0.727083333,12:08 pm (28.8°),91.424
,,14,7:19 am ? (117°),4:58 pm ? (243°),0.401793981,+1:22,0.238888889,0.772916667,0.261111111,0.750694444,0.284722222,0.727777778,12:08 pm (29.0°),91.43
,,15,7:19 am ? (117°),4:59 pm ? (243°),0.402789352,+1:25,0.238888889,0.773611111,0.261111111,0.751388889,0.284027778,0.728472222,12:09 pm (29.2°),91.436
,,16,7:19 am ? (117°),5:00 pm ? (243°),0.403819444,+1:28,0.238194444,0.774305556,0.261111111,0.752083333,0.284027778,0.729166667,12:09 pm (29.3°),91.442
,,17,7:18 am ? (117°),5:01 pm ? (243°),0.404884259,+1:31,0.238194444,0.775,0.260416667,0.752777778,0.284027778,0.729861111,12:09 pm (29.5°),91.449
,,18,7:18 am ? (116°),5:02 pm ? (244°),0.405972222,+1:34,0.238194444,0.775694444,0.260416667,0.753472222,0.283333333,0.730555556,12:10 pm (29.7°),91.456
,,19,7:17 am ? (116°),5:03 pm ? (244°),0.407094907,+1:37,0.238194444,0.776388889,0.260416667,0.754166667,0.283333333,0.73125,12:10 pm (29.9°),91.464
,,20,7:17 am ? (116°),5:05 pm ? (244°),0.408252315,+1:39,0.2375,0.777083333,0.259722222,0.754861111,0.282638889,0.731944444,12:10 pm (30.2°),91.472
,,21,7:16 am ? (116°),5:06 pm ? (245°),0.409444444,+1:42,0.2375,0.777777778,0.259722222,0.755555556,0.282638889,0.732638889,12:11 pm (30.4°),91.48
,,22,7:15 am ? (115°),5:07 pm ? (245°),0.410659722,+1:44,0.236805556,0.778472222,0.259027778,0.75625,0.281944444,0.733333333,12:11 pm (30.6°),91.489
,,23,7:15 am ? (115°),5:08 pm ? (245°),0.411898148,+1:47,0.236805556,0.779166667,0.259027778,0.756944444,0.281944444,0.734027778,12:11 pm (30.8°),91.498
,,24,7:14 am ? (115°),5:09 pm ? (245°),0.413171296,+1:49,0.236111111,0.779861111,0.258333333,0.757638889,0.28125,0.734722222,12:12 pm (31.1°),91.507
,,25,7:14 am ? (114°),5:10 pm ? (246°),0.414467593,+1:51,0.236111111,0.780555556,0.258333333,0.758333333,0.28125,0.735416667,12:12 pm (31.3°),91.516
,,26,7:13 am ? (114°),5:12 pm ? (246°),0.415787037,+1:54,0.235416667,0.78125,0.257638889,0.759027778,0.280555556,0.736111111,12:12 pm (31.6°),91.526
,,27,7:12 am ? (114°),5:13 pm ? (247°),0.41712963,+1:56,0.235416667,0.781944444,0.257638889,0.759722222,0.279861111,0.7375,12:12 pm (31.8°),91.537
,,28,7:11 am ? (113°),5:14 pm ? (247°),0.41849537,+1:58,0.234722222,0.782638889,0.256944444,0.760416667,0.279166667,0.738194444,12:12 pm (32.1°),91.547
,,29,7:10 am ? (113°),5:15 pm ? (247°),0.419895833,+2:00,0.234027778,0.783333333,0.25625,0.761111111,0.279166667,0.738888889,12:13 pm (32.3°),91.558
,,30,7:10 am ? (113°),5:16 pm ? (248°),0.42130787,+2:02,0.234027778,0.784027778,0.25625,0.761805556,0.278472222,0.739583333,12:13 pm (32.6°),91.57
,,31,7:09 am ? (112°),5:17 pm ? (248°),0.422743056,+2:04,0.233333333,0.784722222,0.255555556,0.7625,0.277777778,0.740277778,12:13 pm (32.9°),91.581
2012,February,1,7:08 am ? (112°),5:19 pm ? (248°),0.424201389,+2:05,0.232638889,0.785416667,0.254861111,0.763194444,0.277083333,0.740972222,12:13 pm (33.2°),91.594
,,2,7:07 am ? (111°),5:20 pm ? (249°),0.425671296,+2:07,0.232638889,0.786111111,0.254166667,0.764583333,0.276388889,0.741666667,12:13 pm (33.5°),91.606
,,3,7:06 am ? (111°),5:21 pm ? (249°),0.427164352,+2:09,0.231944444,0.786805556,0.253472222,0.765277778,0.276388889,0.742361111,12:13 pm (33.8°),91.62
,,4,7:05 am ? (111°),5:22 pm ? (250°),0.428680556,+2:10,0.23125,0.7875,0.253472222,0.765972222,0.275694444,0.74375,12:13 pm (34.1°),91.633
,,5,7:04 am ? (110°),5:23 pm ? (250°),0.430208333,+2:12,0.230555556,0.788194444,0.252777778,0.766666667,0.275,0.744444444,12:13 pm (34.4°),91.647
,,6,7:03 am ? (110°),5:25 pm ? (250°),0.431759259,+2:13,0.229861111,0.788888889,0.252083333,0.767361111,0.274305556,0.745138889,12:14 pm (34.7°),91.662
,,7,7:02 am ? (109°),5:26 pm ? (251°),0.433321759,+2:15,0.229166667,0.789583333,0.251388889,0.768055556,0.273611111,0.745833333,12:14 pm (35.0°),91.677
