,date,DIA_max_temp,DIA_min_temp,DIA_precipitation,DIA_snowfall,St_max_temp,St_min_temp,St_precipitation,St_snowfall,DW_max_temp,DW_min_temp,DW_precipitation,DW_snowfall
0,2014-01-01 00:00:00,41,13,0.18,0.0,57.0,29.0,0.0,0.0,62.0,22.0,0.0,0.0
1,2014-01-02 00:00:00,42,11,0.0,0.0,37.0,19.0,0.04,0.4,44.0,15.0,0.06,0.3
2,2014-01-03 00:00:00,62,25,0.0,0.0,46.0,16.0,0.0,0.0,51.0,16.0,0.0,0.0
3,2014-01-04 00:00:00,38,6,0.21,0.0,63.0,22.0,0.0001,0.0001,64.0,27.0,0.08,1.2
4,2014-01-05 00:00:00,12,-10,0.05,0.0,22.0,6.0,0.15,2.2,40.0,10.0,0.1,2.2
5,2014-01-06 00:00:00,34,-8,0.0,0.0,8.0,-3.0,0.02,0.2,12.0,-2.0,0.04,0.5
6,2014-01-07 00:00:00,42,22,0.0,0.9,33.0,-3.0,0.0,0.0,40.0,-1.0,0.0,0.0
7,2014-01-08 00:00:00,38,18,0.0,0.0,42.0,16.0,0.0,0.0,47.0,16.0,0.0,0.0
8,2014-01-09 00:00:00,47,17,0.0,0.0,43.0,16.0,0.0,0.0,49.0,15.0,0.0,0.0
9,2014-01-10 00:00:00,41,22,0.0,0.0,46.0,15.0,0.0,0.0,51.0,16.0,0.0,0.0
10,2014-01-11 00:00:00,57,19,0.0,3.2,42.0,23.0,0.0,0.0,43.0,28.0,0.0,0.0
11,2014-01-12 00:00:00,45,25,0.0,0.0,60.0,30.0,0.0,0.0,61.0,28.0,0.0,0.0
12,2014-01-13 00:00:00,48,24,0.0,0.0,43.0,28.0,0.0,0.0,49.0,25.0,0.0,0.0
13,2014-01-14 00:00:00,39,17,0.04,0.0,47.0,28.0,0.0,0.0,51.0,26.0,0.0,0.0
14,2014-01-15 00:00:00,55,19,0.0,0.0,33.0,20.0,0.01,0.1,35.0,19.0,0.01,0.0001
15,2014-01-16 00:00:00,44,24,0.0,0.5,56.0,26.0,0.0,0.0,59.0,22.0,0.0,0.0
16,2014-01-17 00:00:00,55,20,0.0,0.0,45.0,20.0,0.0,0.0,50.0,20.0,0.0,0.0
17,2014-01-18 00:00:00,54,27,0.0,0.0,55.0,20.0,0.0,0.0,57.0,21.0,0.0,0.0
18,2014-01-19 00:00:00,65,35,0.0,0.0,54.0,24.0,0.0,0.0,57.0,24.0,0.0,0.0
19,2014-01-20 00:00:00,47,22,0.0,0.0,65.0,29.0,0.0,0.0,69.0,27.0,0.0,0.0
20,2014-01-21 00:00:00,63,25,0.0,0.0,47.0,22.0,0.0,0.0,52.0,24.0,0.0,0.0
21,2014-01-22 00:00:00,42,19,0.02,0.0,63.0,21.0,0.0,0.0,65.0,20.0,0.0,0.0
22,2014-01-23 00:00:00,24,4,0.08,0.0,42.0,8.0,0.1,2.7,46.0,6.0,0.13,2.6
23,2014-01-24 00:00:00,57,22,0.0,0.0,26.0,4.0,0.0001,0.0001,30.0,6.0,0.0,0.0
24,2014-01-25 00:00:00,56,32,0.0,0.0,58.0,21.0,0.0,0.0,60.0,20.0,0.0,0.0
25,2014-01-26 00:00:00,58,17,0.0001,0.0,60.0,29.0,0.0,0.0,66.0,29.0,0.0,0.0
26,2014-01-27 00:00:00,21,9,0.09,0.3,58.0,16.0,0.0001,0.0001,58.0,15.0,0.0001,0.0001
